Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833
Africa,,52.705,52.995,53.368,53.827,54.367,54.982,55.661,56.382,57.121,57.858,58.576,59.263,59.914,60.527,61.093,61.607,62.064,62.472,62.839,63.17
Albania,ALB,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573
Algeria,DZA,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88
American Samoa,ASM,71.184,71.222,71.305,71.439,71.624,71.853,72.116,72.392,72.661,72.911,73.126,73.295,73.419,73.506,73.559,73.588,73.609,73.636,73.679,73.745
Americas,,73.572,73.819,74.061,74.299,74.532,74.759,74.982,75.199,75.407,75.606,75.791,75.957,76.103,76.231,76.343,76.443,76.537,76.629,76.728,76.835
Andorra,AND,78.857,79.18,79.468,79.713,79.919,80.103,80.292,80.515,80.785,81.104,81.461,81.837,82.202,82.536,82.828,83.073,83.274,83.443,83.594,83.732
Angola,AGO,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147
Anguilla,AIA,77.72,78.14,78.578,79.008,79.414,79.782,80.099,80.367,80.589,80.766,80.903,81.007,81.09,81.165,81.243,81.332,81.441,81.568,81.714,81.877
Antigua and Barbuda,ATG,73.94,74.171,74.395,74.613,74.821,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,77.016
Argentina,ARG,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667
Armenia,ARM,71.409,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.087
Aruba,ABW,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293
Asia,,67.432,67.786,68.139,68.489,68.835,69.179,69.525,69.876,70.231,70.591,70.951,71.309,71.659,71.997,72.319,72.62,72.897,73.15,73.381,73.593
Australia,AUS,79.592,79.886,80.174,80.451,80.711,80.952,81.174,81.381,81.577,81.764,81.944,82.119,82.291,82.46,82.627,82.794,82.959,83.122,83.281,83.436
Austria,AUT,78.239,78.518,78.791,79.059,79.318,79.567,79.806,80.032,80.246,80.444,80.622,80.776,80.906,81.013,81.103,81.182,81.258,81.34,81.434,81.544
Azerbaijan,AZE,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,73.005
Bahamas,BHS,71.914,71.954,71.977,71.986,71.988,71.987,71.988,71.998,72.022,72.067,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752,73.918
Bahrain,BHR,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,77.292
